answers-forums#SP1#a#3.00,You'll need to check the particular policies of each publisher to see what is allowed and what is not allowed.,ستحتاج للتحقق من سياسات معينة لكل ناشر، لمعرفة ما هو مسموح به وما هو غير مسموح به.
answers-forums#SP1#b#3.00,"If you need to publish the book and you have found one publisher that allows it.
",إذا كنت بحاجة إلى نشر الكتاب ، وكنت قد وجدت الناشر الوحيد الذي يسمح بذلك.
answers-forums#SP2#a#0.60,I am not aware of any university run participant pools.,أنا لست على دراية أي من برك السباحة المشاركة على مستوى الجامعة.
answers-forums#SP2#b#0.60,"At the universities I've worked in North America, human-subject studies (esp.
",لقد عملت في حقول جامعات تابعة لأمريكا الشمالية، في مجال مادة الدراسات البشرية (إسبانيا.
answers-forums#SP3#a#1.00,"Apart from admission (which normally should not be related to age), there is something that's related to your question.",بغض النظر عن القبول (والذي عادة لا ينبغي أن يكون له صلة بالعمر)، هناك شيء ما يتعلق بسؤالك.
answers-forums#SP3#b#1.00,"Age is not a PhD admission facor in the continental Europe, too.
",العمرليس عاملا للقبول في  الدكتوراه ،بالنسبة  لقارة أوروبا ، أيضا.
answers-forums#SP4#a#0.60,"This post refers to research in the STEM fields, and may not be applicable to other research topics.",يشير هذا المقال لبحث في مجال الهندسة والرياضيات، وربما لا ينطبق على موضوعات أبحاث أخرى.
answers-forums#SP4#b#0.60,"This is about my experience in computer engineering I found that reading for breadth was the more important approach.
",هذا عن تجربتي في مجال هندسة الكمبيوتر، حيث وجدت أن القراءة على نطاق واسع هو النهج الأكثر أهمية.
answers-forums#SP5#a#0.80,"If you don't want to pay for Adobe Acrobat Pro, as @schultem mentions, LaTeX can do this with embedded hyperlinks.",
answers-forums#SP5#b#0.80,"If you don't mind hosting your files online, SlideShare is a good solution.
",إذا كنت لا تمانع في استقبال ملفات عبر الإنترنت، الضغط على أيقونة (شير)هو حل جيد.
answers-forums#SP6#a#2.40,I don't think there are likely to be any standards that address this issue specifically.,لا أعتقد أنه يوجد احتمال بأن تكون هناك أي معايير لمعالجة هذه المسألة بالتحديد .
answers-forums#SP6#b#2.40,"You're going to find answers all over the map for this one (i.e., there probably aren't ""standards"").
","ستجد إجابات على الخريطة بأكملها بخصوص هذه المسألة (مثلا :ربما لا يكون هناك "" معايير "")."
answers-forums#SP7#a#1.00,My answer would be depending on which GRE are you referring to?,إن إجابتي تعتمد على: ما هو نوع اختبار (جي ار اي )الذي  تقصده ؟
answers-forums#SP7#b#1.00,"The problem I see with the GREs is that the scoring range is highly compressed.
",من وجهة نظري  أن مشكلة اختبارات (جي ار اي ) هي في الضغط الكبير على مدى النقاط المسجلة  .
answers-forums#SP8#a#0.20,"If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal.",إذا تمكنت من الوصول إليه ، يمكنك فعل ذلك بسهولة كبيرة في بوابة العلوم  لشبكة طومسون رويترز .
answers-forums#SP8#b#0.20,"You can have a look at the arXiv cultoromics website at http://arxiv.culturomics.org, which however searches in articles on the arXiv.
",
answers-forums#SP9#a#0.60,In general there are a number of different distinct workflows that lead to a poster.,بشكل عام هناك عدد من مسيرات العمل المتميزة المختلفة التي تدفع إلى الإعلان عنها .
answers-forums#SP9#b#0.60,"For completeness, Apple's Pages has quite a few nice poster layouts.
",على وجه الكمال ، صفحات أبل لديها عدد لا بأس به من تصاميم الإعلانات الجميلة .
answers-forums#SP10#a#3.60,It is perfectly okay to ask for the figure knowing well that the other person may not give.,لا بأس في طلب  أحد الأرقام من شخص ما ، مع العلم جيدا أنه من الممكن ألا يعطيك .
answers-forums#SP10#b#3.60,"You can always ask, then it is the choice of the author to accept or not.
",يمكنك أن تطلب دائما، وبعدها فإن الخيار يرجع للمؤلف في القبول أو الرفض .
answers-forums#SP11#a#0.20,The academic year does start around September in the USA and I think most European countries.,يبدأ العام الدراسي في الولايات المتحدة الأمريكية ،وعلى ما أعتقد كذلك في معظم الدول الأوروبية ، بحلول شهر سبتمبر
